item's,Pricing
 Hot Coffee Based,
Espresso 4 oz,60
Espresso Macciatto 4 oz,65
Cortado 4 oz,75
Flat White 8 oz,80
Cafe Latte 12 oz,80
Cafe Latte 16 oz,90
Cappuccino 12 oz,80
Cappuccino 16 oz,90
Dulce de Leche 12 oz,115
Dulce de Leche 16 oz,135
Spanish Latte 12 oz,105
Spanish Latte 16 oz,125
Salted Caramel Latte 12 oz,105
Salted Caramel Latte 16 oz,125
Biscof Mocha 12 oz,110
Biscof Mocha 16 oz,125
Toffee White Mocha 12 oz,115
Toffee White Mocha 16 oz,135
Rosted Scotch Latte 12 oz,115
Rosted Scotch Latte 16 oz,135
Pistachio Latte 12 oz,120
Pistachio Latte 16 oz,135
,
,
,
,
Hot Non Coffee,
Creamy Hot Choco 12 oz,105
Creamy Hot Choco 16 oz,125
Chai Latte 12 oz,95
Chai Latte 16 oz,110
Classic Matcha 12 oz,105
Classic Matcha 16 oz,125
Matcha Coconut 12 oz,125
Matcha Coconut 16 oz,145
Matcha Strawberry 12 oz,125
Matcha Strawberry 16 oz,145
Matcha White Choco 12 oz,125
Matcha White Choco 16 oz,145
,
,
Ice Coffee Drinks,
Ice Latte 14 oz,95
Ice Spanish Pecan 14 oz,130
Ice Shaken 14 oz,135
Ice Shaken White Mocha 14 oz,135
Ice Mocha 14 oz,125
Ice Salted Caramel 14 oz,120
Iced Spanish Latte 14 oz,120
Creamy Espresso 14 oz,135
,
,
,
,
,
Ice Non Coffee Drinks,
Peach Mojito 14 oz,110
Passion  Mojito 14 oz,110
Mai Tai 14 oz,125
Mango Coconut 14 oz,110
Lechee Rose Lemonade 14 oz,125
Fizzy Kiwi 14 oz,125
Fizzy Blue Ocean 14 oz,125
,
,
,
,
Coffee Frappe,
Classic Frappe 14 oz,105
Salted Caramel Frappe 14 oz,125
Roasted Mocha Frappe 14 oz,135
Pistachio Frappe 14 oz,135
Purple Buzz 14 oz,120
Peanut Frappe 14 oz,120
Spanish Pecan 14 oz,120
,
,
,
,
,
,
Non Coffee Frappe,
Mango Salted Frappe 14 oz,110
Creamy Pineapple Smothies 14 oz,110
Lychee Smothies 12 14 oz,125
,
,
Milk Shake,
Oreo Shake 14 oz,125
blue Shake 14 oz,125
Red Shake 14 oz,125
,
,
,
,
,
,
Signiture Coffee Drink,
Pina Colada Latte 14 oz,145
Lab Berry Fusion 14 oz,145
Coffee Citrus 14 oz,135
B.A.S Coffee 14 oz,135
Red Coffee 14 oz,135